@kater,84,2136,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66153709],(Link do programu)[http://pastebin.com/raw/NKRS3yzK]
@terror_blade,32,861,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66154331],(Link do programu)[http://pastebin.com/raw/BtkwX26Z]
@l__p,104,4697,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66154785],(Link do programu)[http://pastebin.com/raw/22UDBSkB]
@Salieri_,18,526,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66157645],(Link do programu)[http://pastebin.com/raw/XbpptyCm]
@Statek_kosmiczny_z_kosci_sloniowej,20,704,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66158909],(Link do programu)[http://pastebin.com/raw/MG9xZYFd]
@orestlenczyk,44,1306,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66159481],(Link do programu)[http://pastebin.com/raw/w2GpmXpn]
@maniexx,4,210,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66161443],(Link do programu)[http://pastebin.com/raw/1XpGxJ5B]
@BoKoR,172,12701,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66161861],(Link do programu)[http://pastebin.com/raw/pHX5pGae]
@k0lasz,2,151,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66166957],(Link do programu)[http://pastebin.com/raw/rg6tsTrk]
@anonymous_derp,23,731,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66169321],(Link do programu)[http://pastebin.com/raw/s3RGZBt2]
@Dewastators,63,1629,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66172333],(Link do programu)[http://pastebin.com/raw/uSHLGW5Q]
@ElGovanni,15,538,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66176885],(Link do programu)[https://gist.githubusercontent.com/ElGovanni/78fe00b41bd13d225403f6dbb051956f/raw/12a001294a66cbc9cf3cb968af731ae9323d1f32/wyzwanie_wypok.py]
@Fizz,5,198,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66179349],(Link do programu)[http://pastebin.com/raw/wA6JASSH]
@Jessamine,34,1472,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66180287],(Link do programu)[http://pastebin.com/raw/74STKa9M]
@NostalgicznyPasterz,32,947,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66180733],(Link do programu)[http://pastebin.com/raw/FxYUGdF7]
@oskar_15,26,675,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66181489],(Link do programu)[http://pastebin.com/raw/m6gwqumF]
@natjes,79,1839,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66183473],(Link do programu)[http://pastebin.com/raw/F5iDmNCy]
@orbitpl,61,2289,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66193201],(Link do programu)[http://pastebin.com/raw/mwcPJDfz]
@g33k,52,1593,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66194319],(Link do programu)[http://pastebin.com/raw/DVQsdYEV]
@Engineer_Mordimer,20,675,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66215953],(Link do programu)[http://pastebin.com/raw/d5sb8swx]
@Tysiak,47,1201,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66217725],(Link do programu)[http://pastebin.com/raw/0cu5Q3Nw]
@Calvert,35,1114,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66240781],(Link do programu)[http://pastebin.com/raw/s9uytwWV]
@brunix,93,2650,(Link do wpisu[http://www.wykop.pl/wpis/18709761/#comment-66154359],(Link do programu)[https://github.com/bro-wer/wykop_python/blob/master/Zadanie-1/Zadanie_1.py]
@zranoI,96,3416,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66156613],(Link do programu)[https://gist.github.com/Jonarzz/a5fcedd10f298439acca53dc2bee9203]
@Almagest,80,2377,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66157537],(Link do programu)[https://gist.github.com/michalsosn/394219115e3f3d80b540354462eeef63]
@orbitpl,14,862,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66185671],(Link do programu)[http://pastebin.com/Vf2sPriM]
@kielus,50,1362,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66214893],(Link do programu)[http://pastebin.com/ZLhQVPnM]
@azetka,39,1441,(Link do wpisu)[http://www.wykop.pl/wpis/18709761/#comment-66242589],(Link do programu)[http://pastebin.com/8v3b1Vgw]

