Nick,Liczba lini, Liczba znaków,Link do wpisu, Link do programu
@Dewastators,172,12714,http://www.wykop.pl/wpis/18863629/#comment-66830177,http://pastebin.com/raw/hQwv3Lbc
@g33k,55,1856,http://www.wykop.pl/wpis/18863629/#comment-66830635,http://pastebin.com/raw/aGyDuKu3
@loorens,56,1561,http://www.wykop.pl/wpis/18863629/#comment-66835205,http://pastebin.com/raw/aqmJdZvG
@orbitpl,143,5331,http://www.wykop.pl/wpis/18863629/#comment-66839927,http://pastebin.com/raw/80HpreB9
@k0lasz,10,354,http://www.wykop.pl/wpis/18863629/#comment-66849523,http://pastebin.com/raw/73LGmBLQ
@g33k,103,3293,http://www.wykop.pl/wpis/18863629/#comment-66852091,http://pastebin.com/raw/FjEch0xB
@Engineer_Mordimer,64,2299,http://www.wykop.pl/wpis/18863629/#comment-66855783,http://pastebin.com/raw/Kk5uUXkw
@oko_strusia,61,1754,http://www.wykop.pl/wpis/18863629/#comment-66879305,http://pastebin.com/raw/f36rRUH7
@Calvert,50,1470,http://www.wykop.pl/wpis/18863629/#comment-66883901,http://pastebin.com/raw/Eki7SdcM
@terror_blade,35,1133,http://www.wykop.pl/wpis/18863629/#comment-66892301,http://pastebin.com/raw/KLa0601k
@yawa2,32,1002,http://www.wykop.pl/wpis/18863629/#comment-66834153,https://gist.github.com/yawa2/f9722128b1b31497bb1e8d268d60d4c8
@barteb,58,1678,http://www.wykop.pl/wpis/18863629/#comment-66837417,https://github.com/barteb/Wyzwanie-Python/blob/master/wyzwanie2/easy.py
@brunix,147,4578,http://www.wykop.pl/wpis/18863629/#comment-66853223,https://github.com/bro-wer/wykop_python/tree/master/zadanie_02
@GitLog,28,830,http://www.wykop.pl/wpis/18863629/#comment-67278905,http://ideone.com/YYle4p

